experiment,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,003000000,first_0,-19.61111111111111,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,003500000,first_0,-25.058823529411764,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,002500000,first_0,-20.416666666666668,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,005000000,first_0,-25.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,000500000,first_0,-7.641025641025641,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,001000000,first_0,-18.742857142857144,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,004500000,first_0,-22.4,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,001500000,first_0,-20.228571428571428,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,003000000,first_0,-16.18421052631579,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,002000000,first_0,-13.771428571428572,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,002500000,first_0,-17.38235294117647,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,004500000,first_0,-15.026315789473685,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,005000000,first_0,-13.41025641025641,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,004000000,first_0,-13.948717948717949,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S1/1_2021-11-20_10:46:08,003500000,first_0,-13.923076923076923,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,000500000,first_0,-8.921052631578947,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,001500000,first_0,-16.81081081081081,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,002000000,first_0,-2.972972972972973,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,001000000,first_0,-21.4,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,002500000,first_0,-4.394736842105263,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,003500000,first_0,-5.324324324324325,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,003000000,first_0,-3.4054054054054053,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,004000000,first_0,-2.263157894736842,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,006000000,first_0,-2.891891891891892,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,005500000,first_0,-3.054054054054054,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,005000000,first_0,-1.837837837837838,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,004500000,first_0,-1.9736842105263157,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,008000000,first_0,-2.945945945945946,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,006500000,first_0,-2.945945945945946,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,007000000,first_0,-2.810810810810811,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,007500000,first_0,-3.891891891891892,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,009000000,first_0,-2.6216216216216215,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,008500000,first_0,-3.054054054054054,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,009500000,first_0,-16.09090909090909,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,010000000,first_0,-13.911764705882353,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,012000000,first_0,-14.46875,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,011000000,first_0,-14.06060606060606,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,010500000,first_0,-14.515151515151516,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S2/2_2021-11-20_09:39:44,011500000,first_0,-14.818181818181818,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,001500000,first_0,-20.91358024691358,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,000500000,first_0,-20.296296296296298,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,001000000,first_0,-20.335526315789473,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S0/0_2021-11-18_11:39:28,000500000,first_0,-1.4647887323943662,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,001000000,first_0,-5.971830985915493,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,000500000,first_0,-1.647887323943662,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,002000000,first_0,-20.99390243902439,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,003000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,002500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,002000000,first_0,-14.845070422535212,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,002500000,first_0,-45.225352112676056,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,001500000,first_0,-10.43661971830986,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,004000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,003500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,004500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,003500000,first_0,-43.098591549295776,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,004000000,first_0,-27.507042253521128,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,003000000,first_0,-35.54929577464789,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,000500000,first_0,-20.14179104477612,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,001000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,005000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,005500000,first_0,-36.732394366197184,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,005000000,first_0,-30.887323943661972,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,004500000,first_0,-21.098591549295776,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,002000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,002500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,001500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,006000000,first_0,-26.225352112676056,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,007000000,first_0,-46.49295774647887,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,006500000,first_0,-11.056338028169014,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,004000000,first_0,-20.869565217391305,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,003000000,first_0,-20.493506493506494,nan,nan,nan,False,False
